Deal Announce Date,Previous Year,Acquirer Ticker,Acquirer Name,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,T_minus_10_Date,T_minus_10_Price,T_plus_10_Date,T_plus_10_Price,Market_Cap_AD_mil,ROA_percent,Acquirer_GHG_Emissions,Deal Status
16-08-2023,2022,OXY,Occidental Petroleum Corp,Carbon Engineering Ltd,"BHP Group Ltd,Airbus SE,Air Canada,Thomvest Ventures Inc,Lowercase Capital LLC (Fund: Lowercase Frontier LP),Starlight Ventures Inc,First Round Capital (Fund: First Round Capital VII LP),Oxy Low Carbon Ventures LLC,Bethel Lands Corp Ltd,Carbon Order Ltd,Rusheen Capital Management LLC,Chevron ...",813.12,,04-08-2023,62.14,28-08-2023,60.89,57425.56,-0.15,17551718.18,Completed
14-08-2023,2022,TS,Tenaris SA,Pipeline Performance Group LLC,Mattr Corp,182.6,,03-08-2023,30.34,24-08-2023,30.9,17171.72,2.12,590.4629236,Completed
11-08-2023,2022,AMRC,Ameresco Inc,Clean energy asset/Bright Canyon Energy Corp,Pinnacle West Capital Corp,,,31-07-2023,58.21,21-08-2023,47.37,1730.24,0.89,324048,Completed
02-08-2023,2022,NU,Eversource Energy,Community water system/Pinehills Water Co,Pinehills Water Co Inc,,,21-07-2023,7.92,14-08-2023,7.94,29327.57,1.14,67.3,Completed
01-08-2023,2022,VST,Vistra Corp,Tricor Group LLC,,,,21-07-2023,27.75,11-08-2023,29.49,9283.67,4.98,31607742.71,Completed
19-07-2023,2022,AMPS,Altus Power Inc,4.4 MW operating solar assets/Southern California,Apollo Global Management Inc,,,07-07-2023,5.82,31-07-2023,6.81,1062.4,0.79,440.413,Completed
18-07-2023,2022,BRY,Berry Corp,Macpherson Energy Corp,,70,,07-07-2023,6.07,28-07-2023,6.51,483.37,4.6,668476.6689,Completed
13-07-2023,2022,XOM,Exxon Mobil Corp,Denbury Inc,,4522.62,7.72,30-06-2023,101.03,24-07-2023,99.4,427319.39,1.68,109000000,Completed
11-07-2023,2022,REI,Ring Energy Inc,Central Basin Platform asset/Founders Oil & Gas IV LLC,Founders Oil & Gas IV LLC,75,,30-06-2023,1.71,21-07-2023,2.16,396.39,2.42,191090,Completed
05-07-2023,2022,PTEN,Patterson-UTI Energy Inc,Ulterra Drilling Technologies LP,Blackstone Inc,773.48,,23-06-2023,10.92,17-07-2023,13.63,4507.91,-0.88,272020.562,Completed
05-07-2023,2022,NXU,Nxu Inc,21000 sq ft facility/Tempe,,,,23-06-2023,75.15,17-07-2023,86.25,2065.47,-59.15,1258.648,Completed
30-06-2023,2022,CMI,Cummins Inc,Hydrogenics Corp,Air Liquide SA,,,16-06-2023,225.96,10-07-2023,242.44,32296.99,1.33,154826.9672,Completed
30-06-2023,2022,NOG,Northern Oil and Gas Inc,Delaware Basin assets/Forge Energy II LLC,Vital Energy Inc,,,16-06-2023,30.86,10-07-2023,32.8,3188.31,1.28,351378.5815,Completed
20-06-2023,2022,CIVI,Civitas Resources Inc,Hibernia Energy III LLC,NGP Energy Capital Management LLC,2250,,09-06-2023,60.9,30-06-2023,61.14,5318.87,1.01,1250800,Completed
15-06-2023,2022,PTEN,Patterson-UTI Energy Inc,NexTier Oilfield Solutions Inc,,2106.35,3.72,02-06-2023,10.56,26-06-2023,11.11,4611.37,-0.88,272020.562,Completed
15-06-2023,2022,NOG,Northern Oil and Gas Inc,Delaware basin assets/Northern,Earthstone Energy Inc,468.4,,02-06-2023,29.09,26-06-2023,30.3,3054.27,1.28,351378.5815,Completed
01-06-2023,2022,CEG,Constellation Energy Corp,South Texas Project Electric Generating Station/Houston,NRG Energy Inc,1750,,19-05-2023,81.33,12-06-2023,92.64,27476.79,1.61,9108347,Completed
26-05-2023,2022,COP,ConocoPhillips,Surmont Sand & Gravel Ltd,TotalEnergies SE,3000,,15-05-2023,94.82,05-06-2023,96.5,122525.3,1.88,4988534.868,Completed
25-05-2023,2022,SR,Spire Inc,"MoGas Pipeline LLC,Omega Pipeline Co LLC",CorEnergy Infrastructure Trust Inc,,,12-05-2023,63.62,05-06-2023,59.52,3526.9,0.72,350968.517,Completed
22-05-2023,2022,CVX,Chevron Corp,PDC Energy Inc,,7874.41,2.66,11-05-2023,143.78,01-06-2023,141.42,249441.32,1.26,53000000,Completed
12-05-2023,2022,VTLE,Vital Energy Inc,Forge Energy II LLC,EnCap Investments LP,378,,01-05-2023,46.16,22-05-2023,46.11,1613.68,-6.11,386367.84,Completed
04-05-2023,2022,SUN,Sunoco LP,16 refined product terminals/East Coast & Midwes,Zenith Energy Ltd,110,,21-04-2023,39.64,15-05-2023,39.52,5272.13,0.72,71428.02833,Completed
03-05-2023,2022,CRGY,Crescent Energy Co,Western Eagle Ford asset/US,Mesquite Exploration Ltd,600,,21-04-2023,10.65,15-05-2023,9.43,1900.67,-1.29,1123252,Completed
