Announce Date,Reference_Year,Ticker,Acquirer Name,Annual_Sales (Million $),Acquirer_GHG_Emissions (Metric Tonnes),Carbon_Intensity,Acquirer_Classification,Target Name,Target_Classification,Seller Name,Announced Total Value (mil.),TV/EBITDA,T_minus_3_Date,T_minus_3_Price ($),T_plus_3_Date,T_plus_3_Price ($),Percent_Return,Deal Status,Benchmark_Return,Abnormal_Return,Weighted_Abnormal_Return,Weight,Log_Carbon_Intensity
2022-09-23,2021,ETR,Entergy Corp,11742.900000,35663689.000000,3003.634500,Brown,475 MW Solar Gnerating capacity/US,Green,,,,2022-09-19,49.860000,2022-09-26,46.810000,-6.100000,Completed,-9.229958,3.129958,0.012360,0.003949,8.007911
2022-09-09,2021,SPRU,Spruce Power Holding Corp,15.600000,179.520000,11.947200,Green,Spruce Power Holdings LLC,Green,HPS Investment Partners LLC,58.000000,,2022-09-02,8.960000,2022-09-12,9.760000,8.930000,Completed,4.533876,4.396124,0.000023,0.000005,2.560880
2022-08-11,2021,KMI,Kinder Morgan Inc,16610.000000,14100000.000000,169.585400,Brown,North American Natural Resources Inc,Green,,135.000000,,2022-08-05,15.070000,2022-08-15,16.010000,6.300000,Completed,7.368120,-1.068120,-0.005966,0.005586,5.139236
2022-08-09,2021,EVRG,Evergy Inc,5586.700000,26540373.000000,4750.635100,Brown,199 MW Persimmon creek wind Farm/Oklahoma,Green,"Gestamp Eolica SL,Scout Clean Energy LLC",250.000000,,2022-08-05,60.230000,2022-08-12,62.950000,4.510000,Completed,9.503176,-4.993176,-0.009381,0.001879,8.466244
2022-08-09,2021,EVRG,Evergy Inc,5586.700000,26540373.000000,4750.635100,Brown,Wind farm/Oklahoma,Green,,,,2022-08-05,60.230000,2022-08-12,62.950000,4.510000,Completed,9.503176,-4.993176,-0.009381,0.001879,8.466244
2022-08-03,2021,BWA,BorgWarner Inc,11803.000000,99997.340000,8.472200,Green,Rhombus Energy Solutions Inc,Green,"Nabtesco Corp,Inci Holding AS,Golden Regent Electronics Industrial Ltd,Greenhouse Capital Partners (Fund: Greenhouse Capital Partners II LP),Cycle Capital Management CCM Inc (Fund: Cycle Capital Fund IV LP),Emerald Technology Ventures AG (Fund: Emerald Water Innovation Impact Fund LP)",130.000000,,2022-07-29,32.580000,2022-08-08,32.560000,-0.080000,Completed,-2.261839,2.181839,0.008660,0.003969,2.248361
2022-07-20,2021,BLK,BlackRock Inc,19374.000000,5308.000000,0.549900,Green,Vanguard Renewables LLC,Green,Vision Ridge Partners LLC,,,2022-07-15,558.790000,2022-07-25,592.090000,5.960000,Completed,9.290260,-3.330260,-0.021698,0.006515,0.438190
2022-07-05,2021,NNI,Nelnet Inc,1500.910000,993.760000,0.662100,Green,Grne Solutions LLC,Green,,,,2022-07-01,83.630000,2022-07-08,83.490000,-0.170000,Completed,-0.783100,0.613100,0.000309,0.000505,0.508082
2022-04-26,2021,ST,Sensata Technologies Holding PLC,3820.810000,10328.080000,2.703100,Green,Dynapower Co LLC,Green,Pfingsten Partners LLC,580.000000,,2022-04-22,46.810000,2022-04-29,43.740000,-6.540000,Completed,-3.789510,-2.750490,-0.003534,0.001285,1.309170
2022-04-20,2021,BKR,Baker Hughes Co,20502.000000,391346.000000,19.088200,Green,Mosaic Materials Inc,Green,"Baruch Future Ventures LLC,Unknown Seller,Evok Innovations Inc",,,2022-04-14,34.640000,2022-04-25,28.560000,-17.570000,Completed,-7.425553,-10.144447,-0.069942,0.006895,3.000133
