Announce Date,Reference_Year,Ticker,Acquirer Name,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,Deal Status,Acquirer_GHG_Emissions,Annual_Sales,Carbon_Intensity,Target_Classification,Acquirer_Classification,Announce_Date_DT,status,ticker,T_minus_3_Date,T_minus_3_Price,T_plus_3_Date,T_plus_3_Price,Percent_Return
2018-07-09,2017,DUK,Duke Energy Corp,Shoreham Solar Commons project,Invenergy LLC,,,Completed,96513935.2,23565.0,5571.7764,Green,Brown,2018-07-09,Success,DUK,2018-07-05,61.09,2018-07-12,61.01,-0.14
2018-07-03,2017,COP,ConocoPhillips,Greater Kuparuk Area/Alaska,BP PLC,,,Completed,9669320.86,29106.0,332.2106,Brown,Brown,2018-07-03,Success,COP,2018-06-29,55.65,2018-07-06,55.68,0.04
2018-07-03,2017,BLDP,Ballard Power Systems Inc,Fuel Cell Assets,AFCC Automotive Fuel Cell Cooperation Corp,,,Completed,4302.313216,121.288,33.4705,Green,Brown,2018-07-03,Success,BLDP,2018-06-29,2.85,2018-07-06,2.87,0.7
2018-07-02,2017,FET,Forum Energy Technologies Inc,Certain assets/ESP Completion Technologies LLC,C&J Energy Services Inc,8.0,,Completed,10986.90752,818.62,13.5253,Neutral,Green,2018-07-02,Success,FET,2018-06-28,244.0,2018-07-05,253.0,3.69
2018-07-02,2017,FELE,Franklin Electric Co Inc,Stationary Power Division,Midtronics Inc,,,Completed,16642.8104,1124.909,14.7948,Green,Green,2018-07-02,Success,FELE,2018-06-28,42.17,2018-07-05,43.1,2.21
2018-06-29,2017,L,Loews Corp,Boardwalk Pipeline Partners LP,,1504.16,3.93,Completed,368558.541,13735.0,26.8335,Brown,Brown,2018-06-29,Success,L,2018-06-25,47.38,2018-07-02,46.83,-1.17
2018-06-28,2017,WEC,WEC Energy Group Inc,Bishop Hill III Wind Energy Center,,143.5,,Completed,30284894.38,7648.5,4866.8609,Green,Brown,2018-06-28,Success,WEC,2018-06-22,50.29,2018-07-02,52.6,4.59
2018-06-27,2017,NOG,Northern Oil and Gas Inc,Production Asset/ Willston Basin,"Continental Resources Inc/OK,Whiting Petroleum Corp",6.37,,Completed,180735.5753,209.3197,863.4427,Brown,Brown,2018-06-27,Success,NOG,2018-06-22,24.41,2018-07-02,27.41,12.27
2018-06-25,2017,CMS,CMS Energy Corp,CMS Northwest Ohio Wind Farm,Starwood Energy Group Global LLC,,,Completed,6560220.196500001,6583.0,996.5396,Green,Brown,2018-06-25,Success,CMS,2018-06-21,37.14,2018-06-28,38.54,3.77
2018-06-22,2017,DAN,Dana Inc,TM4 Inc,Hydro-Quebec,123.88,,Completed,208579.3339,7209.0,28.9332,Green,Brown,2018-06-22,Success,DAN,2018-06-18,18.75,2018-06-25,17.97,-4.16
2018-06-21,2017,BIP,Brookfield Infrastructure Partners LP,Data centers/AT&T Inc,AT&T Inc,1100.0,,Completed,426787.7135,3535.0,120.732,Brown,Brown,2018-06-21,Success,BIP,2018-06-15,17.97,2018-06-25,17.59,-2.12
2018-06-19,2017,LNG,Cheniere Energy Inc,Cheniere Energy Partners LP Holdings LLC,,575.13,,Completed,2516949.051,5601.0,449.3749,Green,Brown,2018-06-19,Success,LNG,2018-06-15,62.08,2018-06-22,66.3,6.81
