Announce Date,Ticker,Acquirer Name,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,Deal Status,Company Name
05-10-2021,SPWRQ,SunPower Corp,Blue Raven Solar LLC,Peterson Ventures Inc,165,,Completed,SunPower Corp
05-10-2021,FRU.TO,Freehold Royalties Ltd,US royalty asset/OneMap Mineral Services LLC,Onemap Mineral Services LLC,54,,Completed,Freehold Royalties Ltd
05-10-2021,AWM.V,Angel Wing Metals Inc,Lago De Oro SA de CV,Lago de Oro LLP,1.28,,Completed,Angel Wing Metals Inc
05-10-2021,USEG,US Energy Corp,Certain oil & gas assets/US,"Synergy Offshore LLC,Sage Road Capital LLC,Lubbock Energy Partners LLC",1.25,,Completed,US Energy Corp
05-10-2021,XFLS,Xfuels Inc,Cycle Oil & Gas Inc,,,,Completed,Xfuels Inc
04-10-2021,ZPTAF,Surge Energy Inc,Fire Sky Energy Inc,,6,,Completed,Surge Energy Inc
04-10-2021,OILCF,Permex Petroleum Corp,Production Assets/Martin County,"Pratt Oil Co LLC,Petro America Resources LLC,Rockport Permian LLC",2,,Completed,Permex Petroleum Corp
01-10-2021,CVX,Chevron Corp,American Natural Gas LLC,Mercuria Energy Trading SA,,,Completed,Chevron Corp
29-09-2021,PUQ.MU,Westbridge Renewable Energy Co,Accalia Point Solar LLC,Aelius Solar Corp,,,Completed,Westbridge Renewable Energy Co
28-09-2021,8DA1.SG,InPlay Oil Corp,Prairie Storm Resources Corp,,33.29,,Completed,InPlay Oil Corp
27-09-2021,FOBIF,FOBI AI INC,Online Coupon & Advertising Platform/Qples Inc,Qples Inc,3.2,,Completed,FOBI AI INC
21-09-2021,US39037G1094.SG,Great Elm Group Inc,Power mobility assets/MedOne Healthcare LLC,Med One Healthcare LLC,1.5,,Completed,Great Elm Group Inc
20-09-2021,MTRN,Materion Corp,HCS-Electronic Materials,HC Starck Inc,380,,Completed,Materion Corp
19-09-2021,VTLE,Vital Energy Inc,Oil weighted acreage/Glasscock County,Pioneer Natural Resources Co,160,,Completed,Vital Energy Inc
17-09-2021,PHX,PHX Minerals Inc,"Certain mineral/East Texas,Royalty interests/Louisiana",,0.73,,Completed,PHX Minerals Inc
13-09-2021,SCR.TO,Strathcona Resources Ltd,Caltex Resources Ltd/Old,,552.72,,Completed,Strathcona Resources Ltd
09-09-2021,NRGV,Energy Vault Holdings Inc,Energy Vault Inc,,547.2,,Completed,Energy Vault Holdings Inc
09-09-2021,BRQSF,Borqs Technologies Inc,Holu Hou Energy LLC,,,,Completed,Borqs Technologies Inc
08-09-2021,FRU.TO,Freehold Royalties Ltd,US royalty assets,,180,,Completed,Freehold Royalties Ltd
08-09-2021,ISUNQ,iSun Inc,SolarCommunities Inc,,155.13,,Completed,iSun Inc
08-09-2021,RNEW.L,Ecofin US Renewables Infrastructure Trust PLC,Skillman Solar,,8.26,,Completed,Ecofin US Renewables Infrastructure Trust PLC
08-09-2021,ACX.TO,ACT Energy Technologies Ltd,Valiant Energy Services LLC,,1.23,,Completed,ACT Energy Technologies Ltd
08-09-2021,VD5N.SG,Zephyr Energy PLC,Portfolio of additional non-operated wells in Williston Basin,,0.97,,Completed,Zephyr Energy PLC
07-09-2021,ENB,Enbridge Inc,Moda Midstream Operating LLC,Encap Flatrock Midstream,3000,,Completed,Enbridge Inc
07-09-2021,JXHLY,ENEOS Holdings Inc,Loadmap Holdings GK,,,,Completed,ENEOS Holdings Inc
07-09-2021,NESTE.HE,Neste Oyj,AgriTrading Corp,,,,Completed,Neste Oyj
07-09-2021,RPM,RPM International Inc,Chemical manufacturing plant/Corsicana,ChampionX Corp,,,Completed,RPM International Inc
02-09-2021,PWR,Quanta Services Inc,Blattner Holding Co,,2700,,Completed,Quanta Services Inc
01-09-2021,DR0D.XD,Deutsche Rohstoff AG,30000 net acreage oil field/Wyoming,,,,Completed,Deutsche Rohstoff AG
30-08-2021,DPLS,DarkPulse Inc,"Wildlife Specialists LLC,Remote Intelligence LLC",,1.3,,Completed,DarkPulse Inc
26-08-2021,MJHI,MJ Harvest Inc,Certain Asset/AOK Ventures Inc,AOK Ventures Inc,,,Completed,MJ Harvest Inc
26-08-2021,NI41.F,TomCo Energy PLC,Valkor LLC,Valkor LLC,,,Completed,TomCo Energy PLC
26-08-2021,MKGP,Maverick Energy Group Ltd,480 acre Ben Hearne Lease/Van Zandt,,,,Completed,Maverick Energy Group Ltd
