institutionid,periodenddate,GHG_Emissions,Ticker
4004170,31-12-2021,57000000,CVX
4004170,31-12-2022,53000000,CVX
4004170,31-12-2023,52200000,CVX
4004172,31-12-2013,16481187.46,CMS
4004172,31-12-2014,16833299,CMS
4004172,31-12-2015,18055734.1,CMS
4004172,31-12-2016,13138559.03,CMS
4004172,31-12-2017,13118589.81,CMS
4004172,31-12-2018,13411057.99,CMS
4004172,31-12-2019,13509175.08,CMS
4004172,31-12-2020,14834761,CMS
4004172,31-12-2021,17558176,CMS
4004172,31-12-2022,17674825,CMS
4004172,31-12-2023,18338695.34,CMS
4004201,31-12-2013,346949.1082,GLW
4004201,31-12-2013,346949.1082,
4004201,31-12-2014,351174.2399,GLW
4004201,31-12-2014,351174.2399,
4004201,31-12-2015,329473.9763,GLW
4004201,31-12-2015,329473.9763,
4004201,31-12-2016,330286.1375,GLW
4004201,31-12-2016,330286.1375,
4004201,31-12-2017,346568.8771,GLW
4004201,31-12-2017,346568.8771,
4004201,31-12-2018,620279.986,GLW
4004201,31-12-2018,620279.986,
4004201,31-12-2019,678173.798,GLW
4004201,31-12-2019,678173.798,
4004201,31-12-2020,673668.193,GLW
4004201,31-12-2020,673668.193,
4004201,31-12-2021,833365,GLW
4004201,31-12-2021,833365,
4004201,31-12-2022,791373.99,GLW
4004201,31-12-2022,791373.99,
4004201,31-12-2023,737593,GLW
4004201,31-12-2023,737593,
4004214,30-06-2013,39664.8361,MSFT
4004214,30-06-2013,39664.8361,
4004214,30-06-2014,85187.673,MSFT
4004214,30-06-2014,85187.673,
4004214,30-06-2015,90567.8277,MSFT
4004214,30-06-2015,90567.8277,
4004214,30-06-2016,88395.00027,MSFT
4004214,30-06-2016,88395.00027,
4004214,30-06-2017,97818.001,MSFT
4004214,30-06-2017,97818.001,
4004214,30-06-2018,90722.752,MSFT
4004214,30-06-2018,90722.752,
4004214,30-06-2019,113414.19,MSFT
4004214,30-06-2019,113414.19,
4004214,30-06-2020,118100,MSFT
4004214,30-06-2020,118100,
4004214,30-06-2021,123704,MSFT
4004214,30-06-2021,123704,
4004214,30-06-2022,139413,MSFT
4004214,30-06-2022,139413,
4004214,30-06-2023,144960,MSFT
4004214,30-06-2023,144960,
4004271,31-12-2013,241147.17,LMT
4004271,31-12-2013,241147.17,
4004271,31-12-2014,244177.9028,LMT
4004271,31-12-2014,244177.9028,
4004271,31-12-2015,233437.6802,LMT
4004271,31-12-2015,233437.6802,
4004271,31-12-2016,229148.9144,LMT
4004271,31-12-2016,229148.9144,
4004271,31-12-2017,291521.9196,LMT
4004271,31-12-2017,291521.9196,
4004271,31-12-2018,291521.9196,LMT
4004271,31-12-2018,291521.9196,
4004271,31-12-2019,305363.1604,LMT
4004271,31-12-2019,305363.1604,
4004271,31-12-2020,309563,LMT
4004271,31-12-2020,309563,
4004271,31-12-2021,311043,LMT
4004271,31-12-2021,311043,
4004271,31-12-2022,317761,LMT
4004271,31-12-2022,317761,
4004271,31-12-2023,308980,LMT
4004271,31-12-2023,308980,
4004341,31-12-2013,458158.2135,EQT
4004341,31-12-2014,610239.9088,EQT
4004341,31-12-2015,549617.732,EQT
4004341,31-12-2016,593316.4072,EQT
4004341,31-12-2017,1420806.515,EQT
4004341,31-12-2018,867013.41,EQT
4004341,31-12-2019,664316,EQT
4004341,31-12-2020,674408,EQT
4004341,31-12-2021,639684,EQT
4004341,31-12-2022,683821,EQT
4004341,31-12-2023,668812.929,EQT
4004387,31-12-2013,64846.0737,AWK
4004387,31-12-2014,66422.0797,AWK
4004387,31-12-2015,59515.968,AWK
4004387,31-12-2016,57902.0858,AWK
4004387,31-12-2017,61576.9024,AWK
4004387,31-12-2018,67356.4792,AWK
4004387,31-12-2019,76119.477,AWK
4004387,31-12-2020,64429,AWK
4004387,31-12-2021,75554,AWK
4004387,31-12-2022,69721,AWK
4004387,31-12-2023,76351.624,AWK
4006321,31-12-2013,120813480.6,AEP
4006321,31-12-2014,130326541.5,AEP
4006321,31-12-2015,108618124.8,AEP
4006321,31-12-2016,99167744.35,AEP
4006321,31-12-2017,78767784.87,AEP
4006321,31-12-2018,75368746.72,AEP
4006321,31-12-2019,64783024.72,AEP
4006321,31-12-2020,49271373,AEP
4006321,31-12-2021,56408352.84,AEP
4006321,31-12-2022,51106685.15,AEP
4006321,31-12-2023,44459896.23,AEP
4006880,31-12-2013,6925474.864,TXNM
4006880,31-12-2014,6748069.768,TXNM
4006880,31-12-2015,6424756.525,TXNM
4006880,31-12-2016,6680521.215,TXNM
4006880,31-12-2017,6930102.617,TXNM
4006880,31-12-2018,4519944.588,TXNM
4006880,31-12-2019,5649334.401,TXNM
4006880,31-12-2020,5602062.229,TXNM
4006880,31-12-2021,5682365.521,TXNM
4006880,31-12-2022,4951458.379,TXNM
4006880,31-12-2023,3478735.025,TXNM
4007308,31-12-2013,32980500.31,AEE
4007308,31-12-2014,30677475.66,AEE
4007308,31-12-2015,28550688.97,AEE
4007308,31-12-2016,26798130.52,AEE
4007308,31-12-2017,30203075.35,AEE
4007308,31-12-2018,29587976,AEE
4007308,31-12-2019,24413650.5,AEE
4007308,31-12-2020,25967234,AEE
4007308,31-12-2021,28229889,AEE
4007308,31-12-2022,24930415,AEE
4007308,31-12-2023,19781102.63,AEE
4007504,31-12-2016,39218.19031,MYE
4007504,31-12-2017,39183.18077,MYE
4007504,31-12-2018,39683.83501,MYE
4007504,31-12-2019,33861.50761,MYE
4007504,31-12-2020,32205.663,MYE
4007504,31-12-2021,51316.826,MYE
4007504,31-12-2022,51292.666,MYE
4007504,31-12-2023,40344.984,MYE
4007813,31-12-2013,225665.7842,STR
4007813,31-12-2014,7403712.451,STR
4007813,31-12-2015,6402636.747,STR
4007889,31-12-2013,34214241.06,ETR
4007889,31-12-2014,34185325.01,ETR
4007889,31-12-2015,31843319.01,ETR
4007889,31-12-2016,35189216.57,ETR
4007889,31-12-2017,33135506.76,ETR
4007889,31-12-2018,36499690.13,ETR
4007889,31-12-2019,34372800,ETR
4007889,31-12-2020,32949001,ETR
4007889,31-12-2021,35663689,ETR
4007889,31-12-2022,39551503,ETR
4007889,31-12-2023,35996463,ETR
4009725,31-12-2013,21993344.46,WEC
4009725,31-12-2014,23366011.04,WEC
4009725,31-12-2015,32225888.46,WEC
4009725,31-12-2016,29138270.28,WEC
4009725,31-12-2017,30284894.38,WEC
4009725,31-12-2018,27104022.37,WEC
4009725,31-12-2019,22141602.72,WEC
4009725,31-12-2020,20167000,WEC
4009725,31-12-2021,21676007.37,WEC
4009725,31-12-2022,18871001.56,WEC
4009725,31-12-2023,19011373.22,WEC
4010203,31-12-2013,8402410.077,APA
4010203,31-12-2014,7101882.906,APA
4010203,31-12-2015,6550834.019,APA
4010203,31-12-2016,6861235.765,APA
4010203,31-12-2017,6151488.47,APA
4010203,31-12-2018,7581602.124,APA
4010203,31-12-2019,6551183.71,APA
4010203,31-12-2020,6281127.988,APA
4010203,31-12-2021,6257760.455,APA
4010203,31-12-2022,5680385.463,APA
4010203,31-12-2023,5962692.557,APA
4010413,31-12-2018,282827.0086,BRY
4010413,31-12-2019,338284.805,BRY
4010413,31-12-2020,1610545,BRY
4010413,31-12-2021,1529417.455,BRY
4010413,31-12-2022,1336894.998,BRY
4010413,31-12-2023,217934.949,BRY
4010420,31-12-2013,3811578.543,BKH
4010420,31-12-2014,3567900.977,BKH
4010420,31-12-2015,3953611.076,BKH
4010420,31-12-2016,3998938.555,BKH
4010420,31-12-2017,3918307.121,BKH
4010420,31-12-2018,3916169.329,BKH
4010420,31-12-2019,3842960.283,BKH
4010420,31-12-2020,4132358.76,BKH
4010420,31-12-2021,4162245,BKH
4010420,31-12-2022,4409109,BKH
4010469,31-12-2013,479063.0631,CTRA
4010469,31-12-2014,563056.6362,CTRA
4010469,31-12-2015,335426.5973,CTRA
4010469,31-12-2016,503447.4646,CTRA
4010469,31-12-2017,843964.3204,CTRA
4010469,31-12-2018,903206.1756,CTRA
4010469,31-12-2019,704056.399,CTRA
4010469,31-12-2020,592921.506,CTRA
4010469,31-12-2021,1515275,CTRA
4010469,31-12-2022,1546915,CTRA
4010469,31-12-2023,1358410,CTRA
4010492,31-12-2013,4345931.295,EXE
4010492,31-12-2014,4088842.571,EXE
4010492,31-12-2015,3578306.174,EXE
4010492,31-12-2016,3422324.451,EXE
4010492,31-12-2017,2825482.866,EXE
4010492,31-12-2018,1988791.453,EXE
4010492,31-12-2019,1427745.591,EXE
4010492,31-12-2020,1855982,EXE
4010492,31-12-2021,1837905.793,EXE
4010492,31-12-2022,1701164.53,EXE
4010492,31-12-2023,800762.94,EXE
4010509,31-12-2013,115299.7488,CRK
4010509,31-12-2014,143867.8862,CRK
4010509,31-12-2015,62387.39121,CRK
4010509,31-12-2016,76542.78576,CRK
4010509,31-12-2017,122144.8418,CRK
4010509,31-12-2018,161084.5295,CRK
4010561,31-12-2013,7644606.061,DVN
4010561,31-12-2014,5937485.923,DVN
4010561,31-12-2015,6066341.53,DVN
4010561,31-12-2016,5381100.017,DVN
4010561,31-12-2017,5370275.496,DVN
4010561,31-12-2018,5647500.88,DVN
4010561,31-12-2019,2610322.68,DVN
4010561,31-12-2020,1748730.387,DVN
4010561,31-12-2021,3083013.562,DVN
