Announce Date,Reference_Year,Ticker,Acquirer Name,Annual_Sales,Acquirer_GHG_Emissions,Carbon_Intensity,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,Deal Status
15-06-2023,2022,PTEN,Patterson-UTI Energy Inc,2647.592,272020.562,102.74262877361767,NexTier Oilfield Solutions Inc,,2106.35,3.72,Completed
15-06-2023,2022,NOG,Northern Oil and Gas Inc,1570.535,351378.5815,223.73177388596878,Delaware basin assets/Northern,Earthstone Energy Inc,468.4,,Completed
01-06-2023,2022,CEG,Constellation Energy Corp,24440.0,9108347.0,372.6819558101473,South Texas Project Electric Generating Station/Houston,NRG Energy Inc,1750.0,,Completed
26-05-2023,2022,COP,ConocoPhillips,78494.0,4988534.867526666,63.553072432627545,Surmont Sand & Gravel Ltd,TotalEnergies SE,3000.0,,Completed
22-05-2023,2022,CVX,Chevron Corp,235717.0,53000000.0,224.84589571392814,PDC Energy Inc,,7874.41,2.66,Completed
12-05-2023,2022,VTLE,Vital Energy Inc,1920.796,386367.84,201.14985662194215,Forge Energy II LLC,EnCap Investments LP,378.0,,Completed
04-05-2023,2022,SUN,Sunoco LP,25729.0,106370.6675,4.134271347506704,16 refined product terminals/East Coast & Midwes,Zenith Energy Ltd,110.0,,Completed
03-05-2023,2022,CRGY,Crescent Energy Co,3057.065,1123252.0,367.4282359060079,Western Eagle Ford asset/US,Mesquite Exploration Ltd,600.0,,Completed
01-05-2023,2022,ENB,Enbridge Inc,53309.0,7717086.429,144.76141794068542,"Aitken Creek natural gas storage facility/British Columbia,Aitken Creek North gas storage facility/British Columbia",Fortis Inc/Canada,295.56,,Completed
28-04-2023,2022,TRP,TC Energy Corp,12309.0,21133585.11,1716.921367292225,155 MW Fluvanna Wind Farm/Scurry County,,99.0,,Completed
27-04-2023,2022,SU,Suncor Energy Inc,58336.0,16817507.1465,288.28694367971747,TotalEnergies EP Canada Ltd,TotalEnergies SE,1078.1,,Completed
20-04-2023,2022,WULF,Terawulf Inc,15.033,49.204,3.273065921639061,Nautilus Cryptomine facility,Cumulus Coin LLC,,,Completed
12-04-2023,2022,WHD,Cactus Inc,688.369,8664.043,12.586335235898188,Flexsteel Pipeline Technologies Inc,,,,Completed
11-04-2023,2022,D,Dominion Energy Inc,13938.0,16875266.396,1210.7380109054384,108 MWdc Foxhound Solar project/Longroad Energy Holdings LLC,Longroad Energy Holdings LLC,,,Completed
10-04-2023,2022,LBRT,Liberty Energy Inc,4149.228,1995196.0,480.8595719492879,Siren Energy LLC,,75.7,,Completed
03-04-2023,2022,OVV,Ovintiv Inc,12464.0,2871927.309,230.41778794929397,"PetroLegacy Energy I LLC,Piedra Resources LLC,Black Swan Oil & Gas LLC",EnCap Investments LP,4321.93,,Completed
28-03-2023,2022,VRN,Veren Inc,3512.3,719333.0,204.80397460353615,Spartans oil & liquids-rich Montney assets/Spartan Delta Corp,Spartan Delta Corp,1249.5,,Completed
24-03-2023,2022,SPRU,Spruce Power Holding Corp,23.194,108.615,4.682892127274295,SS Holdings 2017 LLC,,,,Completed
08-03-2023,2022,KLXE,KLX Energy Services Holdings Inc,781.6,12508.743,16.00402123848516,Greene's Energy Group LLC,Denham Capital Management LP,,,Completed
06-03-2023,2022,VST,Vistra Corp,13728.0,31607742.707216334,2302.4288102576,Energy Harbor Corp,,6763.0,,Completed
03-03-2023,2022,EQNR,Equinor ASA,149004.0,11434603.14,76.7402428122735,Suncor Energy UK Ltd,Suncor Energy Inc,882.48,,Completed
02-03-2023,2022,PLUG,Plug Power Inc,701.44,17435.663,24.856955691149633,Alloy Custom Products LLC,Cryogenic Industrial Solutions LLC,,,Completed
02-03-2023,2022,PLUG,Plug Power Inc,701.44,17435.663,24.856955691149633,WesMor Cryogenics LLC,Cryogenic Industrial Solutions LLC,,,Completed
