Ticker,Acquirer Name,Announce Date,Market_Cap_mil,Debt_to_Equity,ROA_percent,Status
VTS,Vitesse Energy Inc,09-10-2023,632.59,,2.2,Success
XIFR,XPLR Infrastructure LP,05-10-2023,1655.09,,-0.56,Success
HOSXF,Haci Omer Sabanci Holding AS,05-10-2023,,,-0.1,Success
CIVI,Civitas Resources Inc,04-10-2023,5939.15,,1.01,Success
PM7.F,Revolve Renewable Power Corp,04-10-2023,11.41,,-6.08,Success
CJ.TO,Cardinal Energy Ltd,04-10-2023,963.48,,2.01,Success
CPK,Chesapeake Utilities Corp,27-09-2023,2264.48,,1.02,Success
CPK,Chesapeake Utilities Corp,26-09-2023,2367.78,,1.02,Success
MAXN,Maxeon Solar Technologies Ltd,21-09-2023,20436.94,,-89.26,Success
CMC.V,Cielo Waste Solutions Corp,20-09-2023,96.66,,-32.83,Success
GPRE,Green Plains Inc,18-09-2023,2109.53,,-3.08,Success
G4P0.F,Lycos Energy Inc,14-09-2023,133.63,,1.24,Success
CVX,Chevron Corp,14-09-2023,276272.39,,1.26,Success
KRP,Kimbell Royalty Partners LP,13-09-2023,1249.05,,-2.9,Success
FTV,Fortive Corp,12-09-2023,25857.84,,1.23,Success
CVX,Chevron Corp,12-09-2023,275578.59,,1.26,Success
ENSV,Enservco Corp,11-09-2023,23.45,,-20.03,Success
INDIGRID.BO,IndiGrid Infrastructure Trust,08-09-2023,97826.78,,0.37,Success
CA74022D4075.SG,Precision Drilling Corp,07-09-2023,,,,Success
TS,Tenaris SA,07-09-2023,16053.49,,2.12,Success
ENB,Enbridge Inc,06-09-2023,67520.62,,0.27,Success
ENB,Enbridge Inc,06-09-2023,67520.62,,0.27,Success
ENB,Enbridge Inc,06-09-2023,67520.62,,0.27,Success
ENB,Enbridge Inc,05-09-2023,71749.57,,0.27,Success
WES,Western Midstream Partners LP,05-09-2023,8972.73,,2.54,Success
DMLP,Dorchester Minerals LP,01-09-2023,1142.16,,3.88,Success
ZCL.SG,Zenith Energy Ltd,29-08-2023,,,,Success
FK2.DU,Expro Group Holdings NV,28-08-2023,,,0.99,Success
G4P0.F,Lycos Energy Inc,24-08-2023,136.29,,1.24,Success
FSV,FirstService Corp,23-08-2023,6611.38,,0.77,Success
EQT,EQT Corp,22-08-2023,25301.57,,1.05,Success
PR,Permian Resources Corp,21-08-2023,8779.05,,1.28,Success
SPRU,Spruce Power Holding Corp,21-08-2023,111.62,,-6.63,Success
ET,Energy Transfer LP,16-08-2023,38858.65,,0.86,Success
DINO,HF Sinclair Corp,16-08-2023,10171.74,,-1.28,Success
OXY,Occidental Petroleum Corp,16-08-2023,57425.56,,-0.15,Success
TS,Tenaris SA,14-08-2023,17171.72,,2.12,Success
AMRC,Ameresco Inc,11-08-2023,1730.24,,0.89,Success
6W8.F,Empire Petroleum Corp,10-08-2023,269.06,,-3.0,Success
BEPC,Brookfield Renewable Corp,08-08-2023,4762.28,,,Success
KRP,Kimbell Royalty Partners LP,03-08-2023,1127.76,,-2.9,Success
CCL-B.TO,CCL Industries Inc,02-08-2023,10153.74,,1.82,Success
NU,Eversource Energy,02-08-2023,29327.57,,1.14,Success
SCR.TO,Strathcona Resources Ltd,01-08-2023,422.22,,1.76,Success
VST,Vistra Corp,01-08-2023,9283.67,,4.98,Success
INVX,Innovex International Inc,31-07-2023,1740.97,,7.29,Success
VYEY,Victory Oilfield Tech Inc,26-07-2023,435.18,,-3139.36,Success
AMPS,Altus Power Inc,19-07-2023,1062.4,,0.79,Success
BRY,Berry Corp,18-07-2023,483.37,,4.6,Success
GWSO,Global Warming Solutions Inc,17-07-2023,30.98,,-237.72,Success
XOM,Exxon Mobil Corp,13-07-2023,427319.39,,1.68,Success
ACX.TO,ACT Energy Technologies Ltd,12-07-2023,183.1,,5.91,Success
DMLP,Dorchester Minerals LP,12-07-2023,1262.89,,3.88,Success
TAC,TransAlta Corp,11-07-2023,2712.18,,-0.41,Success
OKLO,Oklo Inc,11-07-2023,1419.94,,-3.39,Success
REI,Ring Energy Inc,11-07-2023,396.39,,2.42,Success
PTEN,Patterson-UTI Energy Inc,05-07-2023,4507.91,,-0.88,Success
7PD0.F,Highwood Asset Management Ltd,05-07-2023,69.78,,5.44,Success
7PD0.F,Highwood Asset Management Ltd,05-07-2023,69.78,,5.44,Success
7PD0.F,Highwood Asset Management Ltd,05-07-2023,69.78,,5.44,Success
NXU,Nxu Inc,05-07-2023,2065.47,,-59.15,Success
EEENF,88 Energy Ltd,03-07-2023,150.46,,,Success
VTLE,Vital Energy Inc,01-07-2023,,,-6.11,Success
RES,RPC Inc,01-07-2023,,,1.41,Success
CMI,Cummins Inc,30-06-2023,32296.99,,1.33,Success
NOG,Northern Oil and Gas Inc,30-06-2023,3188.31,,1.28,Success
7F4.SG,Tenaz Energy Corp,27-06-2023,,,,Success
IGN1L.VS,AB Ignitis Grupe,27-06-2023,1311.3,,1.09,Success
RCAA.F,Arcelik AS,23-06-2023,,,1.68,Success
SUUN,SolarBank Corp,21-06-2023,,,-0.49,Success
CIVI,Civitas Resources Inc,20-06-2023,5318.87,,1.01,Success
BEPC,Brookfield Renewable Corp,20-06-2023,5340.08,,,Success
CIVI,Civitas Resources Inc,19-06-2023,,,1.01,Success
LOMEF,Lithium One Metals Inc,19-06-2023,,,-0.98,Success
E2Y0.F,EEMS Italia SpA,19-06-2023,71.41,,,Success
CDLR,Cadeler A/S,16-06-2023,,,1.51,Success
GRNL,Greenlite Ventures Inc,16-06-2023,,,,Success
PTEN,Patterson-UTI Energy Inc,15-06-2023,4611.37,,-0.88,Success
GEI.TO,Gibson Energy Inc,15-06-2023,3030.25,,-0.11,Success
NOG,Northern Oil and Gas Inc,15-06-2023,3054.27,,1.28,Success
GEI.TO,Gibson Energy Inc,14-06-2023,3060.42,,-0.11,Success
SUMA.BE,Sumitomo Corp,08-06-2023,,,-0.16,Success
INDOCO.NS,Indoco Remedies Ltd,06-06-2023,30229.87,,-1.1,Success
UAPC,United American Petroleum Corp,06-06-2023,0.74,,,Success
AIRJW,AirJoule Technologies Corp,05-06-2023,,,9.35,Success
EONR,EON Resources Inc,05-06-2023,136.22,,-3.72,Success
CEG,Constellation Energy Corp,01-06-2023,27476.79,,1.61,Success
HYT.XA,Hyterra Ltd,29-05-2023,,,,Success
COP,ConocoPhillips,26-05-2023,122525.3,,1.88,Success
SR,Spire Inc,25-05-2023,3526.9,,0.72,Success
0M1.F,Southern Energy Corp,23-05-2023,38.28,,-3.62,Success
ENGI.PA,Engie SA,23-05-2023,31883.32,,,Success
CVX,Chevron Corp,22-05-2023,249441.32,,1.26,Success
KRP,Kimbell Royalty Partners LP,18-05-2023,1244.8,,-2.9,Success
RELIANCE.NS,Reliance Industries Ltd,18-05-2023,15045147.45,,1.02,Success
NPI.TO,Northland Power Inc,17-05-2023,7104.66,,0.94,Success
OKE,ONEOK Inc,14-05-2023,,,1.44,Success
VTLE,Vital Energy Inc,12-05-2023,1613.68,,-6.11,Success
3WK0.F,LaFleur Minerals Inc,08-05-2023,,,-6.37,Success
SUN,Sunoco LP,04-05-2023,5272.13,,0.72,Success
BLQC,BlockQuarry Corp,04-05-2023,17.64,,,Success
CRGY,Crescent Energy Co,03-05-2023,1900.67,,-1.29,Success
MONI.NE,Global Defence Metals Corp,02-05-2023,,,,Success
ENB,Enbridge Inc,01-05-2023,77669.0,,0.27,Success
TRP,TC Energy Corp,28-04-2023,38846.83,,0.84,Success
SU,Suncor Energy Inc,27-04-2023,35076.59,,0.91,Success
WULF,Terawulf Inc,20-04-2023,551.85,,-5.6,Success
ZEOWW,Zeo Energy Corp,19-04-2023,,,-0.9,Success
WHD,Cactus Inc,12-04-2023,2884.36,,2.68,Success
D,Dominion Energy Inc,11-04-2023,44645.37,,-0.07,Success
LBRT,Liberty Energy Inc,10-04-2023,2123.15,,1.57,Success
OVV,Ovintiv Inc,03-04-2023,10012.81,,-0.31,Success
ELVA,Electrovaya Inc,03-04-2023,152.34,,-0.93,Success
ACDC,ProFrac Holding Corp,31-03-2023,2029.06,,-1.44,Success
ADHI,Arsenal Digital Holdings Inc,29-03-2023,2.11,,-46.23,Success
VRN,Veren Inc,28-03-2023,3780.65,,1.25,Success
003475.KS,Yuanta Securities Korea Co Ltd,28-03-2023,27752.37,,0.13,Success
ET,Energy Transfer LP,27-03-2023,34315.01,,0.86,Success
AMIH,American International Holdings Corp,27-03-2023,1.05,,,Success
WGO,Winnebago Industries Inc,27-03-2023,1524.26,,-0.23,Success
RVS1.F,Dawson Geophysical Co,24-03-2023,39.19,,-18.61,Success
SPRU,Spruce Power Holding Corp,24-03-2023,124.86,,-6.63,Success
