Announce Date,Reference_Year,Ticker,Acquirer Name,Annual_Sales (Million $),Acquirer_GHG_Emissions (Metric Tonnes),Carbon_Intensity,Acquirer_Classification,Target Name,Target_Classification,Seller Name,Announced Total Value (mil.),TV/EBITDA,T_minus_3_Date,T_minus_3_Price ($),T_plus_3_Date,T_plus_3_Price ($),Percent_Return,Deal Status
2021-07-06,2020,PTEN,Patterson-UTI Energy Inc,1124.25,134439.39,105.9872,Brown,Pioneer Energy Services Corp,Neutral,,425.8,21.42,2021-07-02,9.31,2021-07-09,8.59,-7.69,Completed
2021-07-05,2020,CHX,ChampionX Corp,1900.0,24884.58,13.4338,Green,Scientific Aviation Inc,Green,,,,2021-07-01,25.25,2021-07-08,22.88,-9.36,Completed
2021-07-01,2020,CDZI,Cadiz Inc,0.54,6.84,12.6488,Green,220 mile Northern Pipeline,Brown,Kinder Morgan Inc,19.0,,2021-06-25,13.22,2021-07-06,14.33,8.4,Completed
2021-06-30,2020,CE,Celanese Corp,5655.0,1139252.19,126.9003,Brown,Santoprene synthetic rubber business/ExxonMobil,Brown,Exxon Mobil Corp,1150.0,,2021-06-25,139.23,2021-07-06,139.22,-0.01,Completed
2021-06-08,2020,RF,Regions Financial Corp,6655.0,291136.0,43.747,Brown,EnerBank USA,Neutral,CMS Energy Corp,960.0,,2021-06-04,19.39,2021-06-11,18.44,-4.9,Completed
2021-06-08,2020,APO,Apollo Global Management Inc,2110.9,211.0,0.1,Green,Total Operations & Production Services LLC,Neutral,Black Bay Energy Capital LLC,,,2021-06-04,52.9,2021-06-11,53.25,0.66,Completed
2021-06-01,2020,KMI,Kinder Morgan Inc,11700.0,15600000.0,169.5854,Brown,Stagecoach Gas Services LLC,Brown,"Consolidated Edison Inc,Crestwood Equity Partners LP",1225.0,,2021-05-28,14.65,2021-06-04,15.0,2.4,Completed
2021-05-27,2020,MS,Morgan Stanley,52606.0,17170.7,0.3264,Green,Produced water infrastructure assets/Hibernia Energy III LLC,Neutral,Hibernia Energy LLC,,,2021-05-21,77.63,2021-06-01,80.95,4.27,Completed
2021-05-27,2020,MS,Morgan Stanley,52606.0,17170.7,0.3264,Green,Produced water infrastructure assets,Neutral,Hibernia Energy LLC,,,2021-05-21,77.63,2021-06-01,80.95,4.27,Completed
2021-05-24,2020,CTRA,Coterra Energy Inc,1466.0,302393.9,274.3338,Brown,Cimarex Energy Co,Brown,,8815.27,,2021-05-20,14.24,2021-05-27,13.14,-7.72,Completed
