Deal Announce Date,Previous Year,Acquirer Ticker,Acquirer Name,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,T_minus_10_Date,T_minus_10_Price,T_plus_10_Date,T_plus_10_Price,Market_Cap_AD_mil,ROA_percent,Acquirer_GHG_Emissions,Deal Status,Target_Classification,Acquirer_Classification,Carbon_Intensity
2017-10-30,2016,VST,Vistra Corp,Dynegy Inc,,10515.44,15.33,2017-10-19,16.2,2017-11-09,15.74,5433.9,4.98,52283283.24,Completed,Neutral,Brown,9621.6867
2017-10-26,2016,XIFR,XPLR Infrastructure LP,4 Renewable energy assets,NextEra Energy Inc,1271.0,,2017-10-13,28.06,2017-11-06,25.27,2360.27,-0.56,25553.45,Completed,Green,Brown,10.8265
2017-10-18,2016,XOM,Exxon Mobil Corp,crude oil terminal/Wink,Genesis Energy LP,,,2017-10-06,57.69,2017-10-30,58.99,253556.73,1.68,120041438.1,Completed,Brown,Brown,473.4303
2017-10-03,2016,PEG,Public Service Enterprise Group Inc,10.6 MWs-dc facility,Solar Liberty Energy Systems Inc,25.0,,2017-09-22,36.09,2017-10-13,38.0,18015.03,0.52,14037604.05,Completed,Neutral,Brown,779.2162
2017-10-02,2016,WKC,World Kinect Corp,Orchard Holdings Group LLC,Sureserve Group PLC,16.46,,2017-09-21,32.33,2017-10-12,31.44,1768.91,-1.51,545310.24,Completed,Neutral,Brown,308.2747
2017-09-25,2016,AMSC,American Superconductor Corp,Infinia Technology Corp,"Private Investor,Qnergy Inc",0.1,,2017-09-14,4.21,2017-10-05,4.7,158.63,0.79,56553.25,Completed,Neutral,Brown,356.5104
2017-09-18,2016,ITRI,Itron Inc,Itron Networked Solutions Inc,,752.6,,2017-09-07,71.4,2017-09-28,77.15,3456.25,1.71,5193.02,Completed,Neutral,Green,1.5025
2017-09-08,2016,ALE,ALLETE Inc,Tonka Water Conditioning LLC,,,,2017-08-28,57.6,2017-09-18,58.06,3426.14,0.75,7644669.67,Completed,Neutral,Brown,2231.2777
2017-09-05,2016,PTEN,Patterson-UTI Energy Inc,MS Directional LLC,"Denham Capital Management LP (Fund: Denham Commodity Partners Fund V LP),NGP Energy Capital Management LLC (Fund: NGP Natural Resources X LP)",262.0,,2017-08-25,13.93,2017-09-15,16.42,5772.89,-0.88,90235.62,Completed,Neutral,Brown,15.6309
2017-09-01,2016,MPLX,MPLX LP,Certain terminal pipeline & storage assets,Marathon Petroleum Corp,1050.0,,2017-08-21,15.74,2017-09-11,16.7,17241.93,2.93,305794.17,Completed,Neutral,Brown,17.7355
2017-08-28,2016,FET,Forum Energy Technologies Inc,Global Tubing LLC,Quantum Energy Partners LLC,237.0,,2017-08-17,209.0,2017-09-07,249.0,2591.86,-1.52,7947.95,Completed,Neutral,Green,3.0665
2017-08-23,2016,CPK,Chesapeake Utilities Corp,Propane operating assets/Chipola,CPGC Enterprises Inc,,,2017-08-11,68.57,2017-09-05,69.32,1606.09,1.02,99679.31,Completed,Neutral,Brown,62.0633
2017-08-14,2016,NBR,Nabors Industries Ltd,Tesco Corp,,162.23,,2017-08-03,341.0,2017-08-24,302.6,2914.89,-1.19,237228.74,Completed,Neutral,Brown,81.3851
2017-08-03,2016,D,Dominion Energy Inc,2 5-megawatt solar facilities,TotalEnergies SE,,,2017-07-21,55.23,2017-08-14,55.31,47561.56,-0.07,32679003.94,Completed,Green,Brown,687.0886
2017-08-03,2016,CPK,Chesapeake Utilities Corp,Utilities asset/Western Pennsylvania,ARM Energy Management LLC,,,2017-07-21,67.53,2017-08-14,69.53,1583.02,1.02,99679.31,Completed,Neutral,Brown,62.9678
2017-08-03,2016,D,Dominion Energy Inc,2 Solar Power Plants/Fremont & Moorings,Total Holdings SAS,,,2017-07-21,55.23,2017-08-14,55.31,47561.56,-0.07,32679003.94,Completed,Green,Brown,687.0886
2017-07-27,2016,EXP,Eagle Materials Inc,Wildcat Minerals LLC,"Private Investor,Platte River Ventures LLC (Fund: Platte River Equity III LP)",36.8,,2017-07-14,89.97,2017-08-07,89.91,2995.97,3.93,3654676.77,Completed,Neutral,Brown,1219.8643
2017-07-21,2016,PWR,Quanta Services Inc,"Stronghold Ltd,Stronghold Specialty Ltd",,448.78,,2017-07-10,32.79,2017-07-31,33.12,4809.86,1.63,179492.28,Completed,Neutral,Brown,37.3176
2017-07-20,2016,TDY,Teledyne Technologies Inc,Scientific Systems Inc,,31.3,,2017-07-07,133.25,2017-07-31,136.34,6344.71,1.4,52704.87,Completed,Neutral,Green,8.3069
2017-07-18,2016,WTTR,Select Water Solutions Inc,Rockwater Energy Solutions Inc,,452.99,,2017-07-07,10.76,2017-07-28,14.82,1204.83,-0.12,28365.29,Completed,Neutral,Brown,23.543
2017-07-10,2016,GTY,Getty Realty Corp,38 fee simple & 4 leasehold properties,Applegreen PLC,70.1,,2017-06-29,16.85,2017-07-20,16.16,926.43,1.13,1373.77,Completed,Neutral,Green,1.4829
2017-07-06,2016,VST,Vistra Corp,Power Plant/TX,,350.0,,2017-06-23,14.41,2017-07-17,13.73,4819.4,4.98,52283283.24,Completed,Neutral,Brown,10848.5046
2017-07-05,2016,FET,Forum Energy Technologies Inc,Multilift Inc,Pelican Energy Partners LP,39.4,,2017-06-23,300.0,2017-07-17,310.0,3758.81,-1.52,7947.95,Completed,Neutral,Green,2.1145
2017-07-05,2016,HAL,Halliburton Co,Summit Esp LLC,,,,2017-06-23,36.09,2017-07-17,38.36,32356.74,2.4,885363.88,Completed,Neutral,Brown,27.3626
2017-07-03,2016,NGL,NGL Energy Partners LP,Propane Services LLC,Strength Capital Partners LLC,,,2017-06-22,7.66,2017-07-13,8.06,1199.64,0.28,13.08,Completed,Neutral,Green,0.0109
2017-06-30,2016,SHEL,Shell PLC,MP2 Energy IL LLC,,,,2017-06-19,37.91,2017-07-10,36.98,111938.23,1.09,35213155.0,Completed,Neutral,Brown,314.5767
